Map	Raw Data
TWAS_SGA strains_3.9uM Fluconazole_14Oct2016.xlsx	14_10_16_twas_sga_fluc_3uM_mg_ps1_A_96_T_20.txt
TWAS_SGA strains_7.81uM Fluconazole_13Oct2016.xlsx	13_10_16_twas_sga_fluc_7uM_mg_ps1_A_96_T_18.txt
TWAS_SGA strains_15.625uM Fluconazole_11Oct2016.xlsx	11_10_16_twas_sga_fluc_true15uM_3_mg_ps1_A_96_T_20.txt
TWAS_SGA strains_23.43uM Fluconazole_12Oct2016.xlsx	12_10_16_twas_sga_fluc_23uM_mg_ps1_A_96_T_18.txt
TWAS_SGA strains_31.25uM Fluconazole_11Oct2016.xlsx	11_10_16_twas_sga_fluc_31uM_3_mg_ps1_A_96_T_18.txt
TWAS_SGA strains_35uM Fluconazole_12Oct2016.xlsx	12_10_16_twas_sga_fluc_35uM_mg_ps1_A_96_T_20.txt
TWAS_SGA strains_40uM Fluconazole_11Oct2016.xlsx	11_10_16_twas_sga_fluc_40uM_3_mg_ps1_A_96_T_17.txt
TWAS_SGA strains_1.9uM Fluconazole_30Nov2016.xlsx	29_11_16_TWASSGA_fluc1-9_test3_MG_ps1_A_96_T_17.txt
TWAS_SGA strains_1.3uM Fluconazole_30Nov2016.xlsx	29_11_16_TWASSGA_fluc1-3_test3_MG_ps1_A_96_T_20.txt
TWAS_extra_strains_Oct_31_2016_edit.xlsx	31_10_16_twas_extra.txt
6June2017_Fluconazole_single.xlsx	06_06_17_single_mutant_fluc_ps1_A_96_T_18.txt
7June2017_Fluconazole_single.xlsx	07_06_17_single_mutant_fluc_2_ps1_A_96_T_18.txt
14June2017_Fluconazole_single.xlsx	14_06_17_YBT1_fluc_titration_ps1_A_96_T_18.txt
