CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	1.0015922	0.56096	1.044704	0.6362	0.69779	0.75883	0.63458	0.67503	0.937305	1.02604	0.942394	0.64431	1.058174	0.55404	0.45992	0.915095	1.019963
TWAS21160104	0.61249	0.47101	0.60374	0.50342	0.48332	0.81352	0.67988	0.65913	0.49322	0.72389	0.50394	0.49471	0.75756	0.40365	0.3314	0.51691	0.6959
TWAS21160106	1.039914	0.73268	0.948517	0.5639	1.066784	1.15558	0.94206	1.044482	0.931032	1.063357	0.929906	0.70026	1.025826	0.68245	0.53499	1.065491	1.052184
TWAS21160108	1.036036	0.732	1.049898	0.61305	1.13937	0.961326	0.60512	0.62973	0.976088	1.075447	0.955762	0.67765	1.037903	0.60892	0.57314	0.9921185	1.061236
TWAS21160113	1.051213	0.7802	1.066369	0.67108	1.1676	0.84259	0.59695	0.70103	0.9963102	1.10276	0.989181	0.75226	1.085696	0.74793	0.62388	0.944466	1.058912
TWAS21160114	0.89667	0.91087	0.88672	1.28144	0.5531	0.80674	0.961991	1.074945	0.985813	0.99982874	0.973282	0.80131	0.975947	0.926499	1.2488	0.970836	0.89703
TWAS21160116	1.05795	0.80395	1.055557	0.60047	1.17278	1.19851	1.17098	1.060766	1.041359	1.1162	0.984533	0.70324	1.071974	0.70399	0.55891	1.089392	1.072989
TWAS21160118	1.047005	0.9929574	1.043127	1.21523	1.13718	0.88776	0.67395	1.02368	1.076301	1.065916	1.12561	0.87318	1.034227	1.049415	1.33392	1.040571	1.043555
TWAS21160119	1.052571	0.81633	1.049232	0.60491	1.15333	1.18475	1.024426	1.059944	1.073642	1.053362	0.976983	0.7329	1.056925	0.75158	0.62658	1.065559	1.071567
TWAS21160121	1.0657	0.918378	1.074634	1.34843	1.16781	1.11115	1.088512	1.17066	1.10031	1.089128	1.13031	0.86605	1.055296	0.9911663	1.28518	1.082095	1.041494
TWAS21160122	1.010381	0.938164	1.024528	1.36054	0.57569	0.92239	1.10753	1.15144	1.065339	1.037939	1.078388	0.84518	1.030301	0.981351	1.34347	1.027241	0.966576
TWAS21160203	1.069149	0.944841	1.075207	1.36368	1.1683	1.05933	1.13117	1.18213	1.097892	1.085029	1.13092	0.86179	1.057665	1.014325	1.30796	1.082896	1.036166
TWAS21160204	0.64796	0.76359	0.59885	1.033494	0.52264	0.51545	0.81227	0.85365	0.68177	0.39111	0.74449	0.8213	0.47088	1.24859	1.006802	0.6958	0.68688
TWAS21160205	1.050066	0.970585	1.049275	1.33345	1.15987	0.977126	1.032706	1.18788	1.028456	1.038073	1.12881	0.8694	1.051555	1.0555	1.31828	1.058243	1.036298
TWAS21160206	1.058766	0.82851	1.049705	0.63373	1.17542	1.19345	1.022799	1.09113	1.047592	1.063336	1.0047881	0.7533	1.072522	0.77705	0.58597	1.070456	1.068172
TWAS21160209	1.053303	0.83854	1.044653	0.60859	1.15642	1.19611	0.960913	1.090247	0.99987405	1.060119	0.980368	0.74022	1.053928	0.72113	0.49512	1.077311	1.057924
TWAS21160211	1.073832	0.79811	1.08716	0.66636	1.18007	1.25123	1.05605	1.10541	1.0038241	1.055732	1.02113	0.73477	1.07668	0.70368	0.572	1.073596	1.066002
TWAS21160212	0.88475	0.51196	0.89937	0.26557	0.62983	0.75749	0.57277	0.60961	0.84393	0.956249	0.81735	0.57703	0.9553	0.21346	0.44872	0.63169	0.902861
TWAS21160213	1.044379	0.74606	1.06757	0.64916	1.15737	0.947819	0.6108	0.62583	0.933979	1.039768	0.9914974	0.69345	1.056688	0.65241	0.61325	0.977239	1.053448
TWAS21160214	1.036516	0.73359	1.048279	0.4982	1.14118	0.915351	0.58047	0.57948	0.921162	1.08348	0.959686	0.67588	1.064743	0.58257	0.49274	0.9934517	1.072142
TWAS21160216	0.73555	0.74498	0.67858	1.041622	0.77772	0.69108	0.75529	0.85751	0.73291	0.928185	0.76742	0.66032	0.8647	0.68418	0.87231	0.74503	0.73108
TWAS21160217	1.043832	0.76402	1.030277	0.65786	1.16787	1.16384	1.10835	1.097224	1.035034	1.067638	0.969706	0.72074	1.070241	0.72886	0.5761	1.064154	1.061641
TWAS21160218	1.019893	0.941032	0.95335	1.14813	1.054948	0.935865	0.63561	0.8969	1.028543	1.011739	1.095142	0.81099	0.973886	1.043304	1.27779	1.037441	1.017329
TWAS21160219	1.0079318	0.72965	0.930229	0.48794	1.058501	0.93198	0.57098	0.53687	0.900468	1.033176	0.88733	0.66574	0.971253	0.60949	0.53125	0.89037	1.023164
TWAS21160221	1.038249	0.89985	0.9927899	1.19588	1.11019	0.946251	0.66399	0.962341	1.069511	1.086697	1.1108	0.85062	0.9931951	1.0046016	1.24956	1.044874	1.016858
TWAS21160302	1.066599	0.80432	1.073683	0.6215	1.18912	1.21067	1.090337	1.1238	1.0073614	1.070204	1.015391	0.73797	1.062971	0.71379	0.60597	1.066777	1.071563
TWAS21160304	1.064748	0.916258	1.083993	1.34894	1.17114	1.099775	1.035301	1.1661	1.042673	1.049357	1.11703	0.84394	1.06583	0.986683	1.28144	1.068724	1.02859
TWAS21160306	1.052967	0.946832	1.078483	1.19546	1.1329	0.921039	0.68015	1.001148	1.015782	1.049419	1.11272	0.84358	1.039164	0.987135	1.31333	1.061129	1.042562
TWAS21160308	0.989655	0.949757	1.023516	1.16642	0.59149	0.77113	0.66823	0.938378	1.035378	1.056049	1.076364	0.82822	1.0077357	0.964718	1.37835	0.9969825	0.955959
TWAS21160309	0.95827	0.89521	0.93703	1.30794	0.54818	0.81904	0.969867	1.074995	0.959908	1.012953	1.016232	0.83233	0.9980497	0.97189	1.31191	0.94257	0.931412
TWAS21160311	1.025608	0.69874	1.020159	0.49597	1.13056	0.85421	0.60505	0.61578	0.91123	1.074212	0.950763	0.68835	1.050346	0.61678	0.59824	0.938719	1.047782
TWAS21160312	1.056129	0.928451	1.065539	1.18182	1.11503	0.901662	0.65418	0.948079	1.0024984	1.099	1.12577	0.83516	1.050862	0.968487	1.29655	1.057985	1.04482
TWAS21160314	1.027472	0.928906	0.968254	1.13733	1.061198	0.87865	0.65374	0.903392	1.030819	1.074949	1.10032	0.81241	1.00081857	0.943251	1.27003	1.057439	1.062401
TWAS21160316	0.89578	0.920094	0.84962	1.24323	0.21809	0.82143	0.934404	1.023573	0.973161	0.977327	0.95755	0.78045	0.967604	0.933827	1.25201	0.925288	0.88263
TWAS21160318	0.984063	0.71418	1.022752	0.58781	0.63956	1.18767	1.16837	1.083138	0.927471	1.013473	0.88691	0.62845	1.039013	0.57415	0.47513	0.9934971	1.0010119
TWAS21160322	1.040946	0.8766	1.043996	1.27945	1.13034	1.077398	0.969139	1.11105	0.985467	1.04788	1.078625	0.77233	1.029234	0.82653	1.30356	1.052047	1.024187
TWAS21160402	1.055994	0.97512	1.06832	1.18829	1.12645	0.85811	0.71172	0.979453	1.012069	1.076999	1.12701	0.84611	1.043449	1.01391	1.3218	1.05362	1.053544
TWAS21160403	0.987547	0.978138	0.937653	1.36902	0.6039	0.910847	1.026645	1.13648	1.0040298	1.014708	1.061013	0.85021	1.025201	1.025947	1.35067	0.9968129	0.96518
TWAS21160405	1.060088	0.924272	1.074088	1.33171	1.16266	1.10976	1.087666	1.17085	1.088897	1.060226	1.13505	0.85129	1.049196	0.9948855	1.29319	1.065681	1.032309
TWAS21160409	1.051732	0.981284	1.061716	1.19951	1.15393	0.904626	0.67285	0.959614	1.081277	1.05207	1.12414	0.86659	1.04488	1.026041	1.32647	1.060761	1.047988
TWAS21160415	1.030162	0.969949	1.01723	1.17346	1.10315	0.78649	0.6705	1.0053028	1.013073	1.038701	1.10698	0.9965753	1.025781	1.033644	1.31574	1.024402	1.026951
TWAS21160417	1.057137	0.932529	1.093427	1.35664	1.16146	1.063861	1.035633	1.16449	1.040764	1.068533	1.13627	0.85986	1.066085	0.9965071	1.2965	1.05682	1.01748
TWAS21160418	1.030763	0.7647	1.020998	0.56383	1.14067	0.907789	0.59832	0.59842	0.962019	1.047471	0.945261	0.68951	1.023937	0.66108	0.59692	0.915834	1.03944
TWAS21160419	1.017988	0.926278	0.926453	1.1375	1.022114	0.911836	0.65292	0.944993	0.967473	1.035961	1.081181	0.81211	0.969003	0.948336	1.26586	1.01666	1.029372
TWAS21160421	1.036682	0.77877	1.078599	0.27384	1.1582	0.84322	0.62486	0.68412	0.936256	1.079302	0.982109	0.70965	1.0639	0.70333	0.57788	0.931147	1.055689
TWAS21160422	1.069468	0.75751	1.11727	0.67816	1.20401	1.25332	1.082924	1.090257	1.0024413	1.13265	1.01922	0.73997	1.097243	0.73503	0.55567	1.043813	1.076574
TWAS21160423	1.020621	0.8837	0.980368	1.36565	1.033725	1.040769	0.9980035	1.16402	0.949248	1.047797	1.088336	0.8076	1.015131	0.919049	1.2345	1.061198	1.018211
TWAS21160424	0.858	0.89926	0.84698	0.9954885	0.46845	0.70047	0.61311	0.82163	0.81387	0.9923455	0.923719	0.77919	0.943644	0.85663	1.26015	0.88726	0.89425
TWAS21160502	1.071238	0.80902	1.075852	0.65821	1.20469	1.26091	1.13929	1.10389	1.051608	1.078424	1.0093518	0.72835	1.083295	0.70846	0.57131	1.099205	1.094735
TWAS21160504	1.041761	0.976362	1.0093848	1.19203	1.11848	0.83254	0.68138	1.028604	1.008679	1.068679	1.10906	0.956128	1.034245	1.14042	1.34652	1.034986	1.054654
TWAS21160506	0.48194	0.47879	0.44364	0.58989	0.46481	0.49409	0.57726	0.57331	0.50566	0.48616	0.47969	0.48421	0.44358	0.41565	0.40134	0.43052	0.47678
TWAS21160512	1.051959	0.948631	1.021584	1.35724	1.14344	1.02342	1.08428	1.059216	1.096224	1.10126	1.12234	0.975248	1.03132	1.044379	1.33318	1.079583	1.062876
TWAS21160517	0.920695	0.56902	0.912101	0.58396	0.62924	1.029283	1.16695	1.013933	0.9222	0.977156	0.81178	0.62478	1.011556	0.5683	0.58627	0.957775	0.965206
TWAS21160518	0.93065	0.60994	0.925067	0.62813	0.64502	1.073546	1.054496	1.036661	0.953208	0.969461	0.82217	0.63368	0.9913617	0.61334	0.52842	0.940724	0.936349
TWAS21160522	1.049918	0.75318	1.039552	0.62075	1.1642	1.17395	0.9938611	1.09826	1.0091465	1.063299	0.98692	0.73421	1.052484	0.72609	0.58888	1.060065	1.060993
TWAS21160524	1.079925	0.86847	1.078499	0.59681	1.18943	0.79104	0.80938	0.960921	1.060415	1.085841	1.011692	0.71295	1.081301	0.70088	0.58086	1.10403	1.11117
TWAS21160602	1.025523	0.901314	0.930768	0.952932	1.087234	1.15408	0.87414	0.974204	0.932673	1.11444	0.956419	0.75295	1.0134	0.85747	1.10567	1.048859	1.034896
TWAS21160604	1.0034354	0.977168	1.055782	1.17643	0.56649	0.63069	0.71158	0.973077	1.058918	1.041721	1.096185	0.88308	1.007727	1.041112	1.38146	1.0012569	0.950003
TWAS21160605	1.058069	0.948123	1.060598	1.3473	1.16783	1.10473	1.06813	1.17725	1.10964	1.050104	1.134	0.87227	1.056551	1.016686	1.29835	1.067417	1.02766
TWAS21160606	1.053255	0.959661	1.043605	1.21525	1.14028	0.908804	0.68717	1.019526	1.095128	1.054752	1.13202	0.86627	1.034963	1.044958	1.32767	1.043684	1.031927
TWAS21160607	1.066744	0.80326	1.077306	0.59232	1.16837	1.20115	1.059385	1.078292	0.991492	1.089337	0.9943826	0.73489	1.084214	0.70251	0.5921	1.083789	1.080266
TWAS21160608	1.054375	0.78456	1.10093	0.71811	1.19115	0.932114	0.64647	0.72539	0.9936753	1.09924	1.0086427	0.74424	1.071197	0.69513	0.5929	0.974407	1.04486
TWAS21160612	1.064063	0.908263	1.084225	1.35453	1.15325	1.085423	1.039342	1.18664	1.033455	1.065035	1.1436	0.83177	1.077291	0.962028	1.29939	1.078558	1.034301
TWAS21160613	1.040977	0.88408	1.047112	1.28059	1.13216	1.045047	0.971545	1.13334	0.993419	1.038653	1.089956	0.78016	1.049311	0.84491	1.30507	1.048231	1.030092
TWAS21160615	1.061007	0.8934	1.11036	1.34308	1.18688	1.12864	1.17839	1.136	1.10562	1.064325	1.10966	0.88096	1.08354	1.060605	1.32594	1.043185	1.02936
TWAS21160617	1.019716	0.64702	1.063509	0.66716	0.63962	1.21417	1.20471	1.066035	0.965502	1.033067	0.94503	0.65569	1.079306	0.61603	0.56791	1.028323	1.031369
TWAS21160619	0.88944	0.905628	0.86788	1.26679	0.55774	0.81865	0.902293	1.035696	0.968076	0.9988241	0.973568	1.014222	0.980516	0.928402	1.25002	0.935348	0.89762
TWAS21160621	0.974826	0.908317	0.9915086	1.33357	0.57401	0.915786	1.14507	1.091255	1.0061951	1.05616	1.054455	1.29951	1.020248	0.909593	1.30777	1.023724	0.922583
TWAS21160623	1.019017	0.55147	1.065671	0.67905	0.6516	1.18841	1.11157	1.03155	0.954422	1.036832	0.949361	0.64689	1.061602	0.61201	0.46529	1.032677	1.015897
TWAS21160624	0.941141	0.89748	0.904874	1.10624	0.55818	0.84859	0.59782	0.91034	0.918589	1.015362	1.010728	0.83152	0.942316	0.903736	1.3096	0.9912538	0.931641
TWAS21160702	1.0018301	0.66659	1.027494	0.62992	0.61671	1.21209	1.20856	1.098985	0.948592	1.02304	0.917289	0.65269	1.05857	0.59342	0.51215	1.022668	1.015378
TWAS21160705	0.54784	0.4392	0.47742	0.62385	0.22261	0.63387	0.69113	0.69135	0.58034	0.42999	0.58986	0.49209	0.59923	0.49665	0.40775	0.59051	0.44667
TWAS21160707	1.02337	0.953099	0.942966	1.34262	1.06459	1.043962	0.981575	1.13513	1.035048	1.024911	1.080098	0.84097	1.0028563	0.9928624	1.26895	1.050223	1.012082
TWAS21160708	0.960195	0.57002	1.010093	0.67059	0.66054	0.67257	0.58961	0.65043	0.90906	0.981769	0.911524	0.61262	1.030438	0.55853	0.47634	0.87421	0.978618
TWAS21160713	1.04846	0.66993	1.08471	0.66775	1.17965	0.908933	0.62385	0.65544	0.9923114	1.098519	0.987147	0.72537	1.082024	0.66289	0.6008	0.979069	1.054941
