CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.087478	0.63103	1.11371	0.5114	1.12533	1.25317	1.23268	1.18933	1.037449	1.014252	0.99931287	0.75121	1.085074	0.73858	0.941379	1.13639	1.079131
TWAS21010104	1.13363	0.63027	1.13409	0.4668	1.17189	1.451	1.37688	1.15652	1.12197	1.15461	1.02883	0.70872	1.19483	0.68801	0.60116	1.20155	1.19535
TWAS21010105	1.12001	0.88801	1.14308	1.49964	1.14093	1.17123	1.23728	1.22886	1.10887	1.020821	1.21435	0.938405	1.058564	0.9941101	1.22938	1.16085	1.045549
TWAS21010106	1.084455	0.57115	1.11218	0.54481	1.13474	0.955321	0.72995	0.66794	0.945076	1.080267	0.999765	0.60503	1.09713	0.64155	0.7938	1.033016	1.12344
TWAS21010107	0.84756	0.69512	0.88695	1.038974	0.59038	0.54003	0.56494	0.9884	0.88883	0.913586	0.84583	0.88547	0.52273	0.76991	1.18156	0.88238	0.74519
TWAS21010112	1.10256	0.901721	1.068992	1.35163	1.12977	0.87883	0.79836	1.1032	1.080455	1.10939	1.17655	0.957773	1.1019	0.97931	1.30209	1.025617	1.11097
TWAS21010114	1.10776	0.60083	1.10104	0.52969	1.15213	1.30429	1.17612	1.17636	1.047993	1.11716	1.0064396	0.73596	1.14089	0.66006	1.071109	1.15261	1.14086
TWAS21010115	1.084373	0.55058	1.11482	0.46214	1.138	0.948801	0.69895	0.56367	1.011815	1.091884	1.010625	0.60099	1.093001	0.61125	0.76333	1.0058886	1.12929
TWAS21010116	1.085586	0.61327	1.08375	0.52275	1.1342	1.29898	1.27776	1.15262	1.095837	1.10076	0.988269	0.73074	1.10851	0.66676	0.9916417	1.11402	1.11548
TWAS21010117	0.920065	0.48128	0.972581	0.51677	0.39375	0.65035	0.66709	0.52475	0.81651	1.010682	0.8032	0.62199	0.8601	0.53011	0.65502	0.80004	1.028227
TWAS21010118	0.943315	0.71243	0.88631	1.10087	0.51955	0.57108	0.68865	0.88557	0.952746	0.908816	0.919698	0.77459	0.89328	0.79127	1.12668	0.96603	0.942372
TWAS21010119	0.930086	0.67807	0.93432	1.3271	0.50773	0.77429	1.073989	1.060049	0.964969	0.979337	0.952404	0.79056	0.967522	0.80169	1.082808	0.934762	0.88644
TWAS21010121	1.093048	0.59174	1.11672	0.57803	1.14814	0.937349	0.74832	0.62286	0.960181	1.10396	1.016268	0.6032	1.1182	0.63506	0.88244	1.035879	1.14164
TWAS21010122	1.1062	0.59733	1.094686	0.52368	1.15162	1.28841	1.1837	1.16898	1.029471	1.10897	0.991199	0.73251	1.12542	0.6785	1.0021907	1.15953	1.13121
TWAS21010203	0.903961	0.7399	0.89286	1.085027	0.55868	0.56398	0.74979	1.016051	0.980158	0.974197	0.9970188	0.83259	0.956983	0.81136	1.25589	0.928439	0.89404
TWAS21010204	1.11219	0.60555	1.1291	0.55319	1.18147	1.014334	0.71883	0.63865	1.029029	1.11688	1.030495	0.65391	1.12305	0.64458	0.916013	1.03713	1.15904
TWAS21010205	1.12972	0.63559	1.15366	0.56667	1.19837	1.37958	1.37871	1.20057	1.14701	1.12626	1.047479	0.70087	1.1476	0.69626	1.035875	1.2042	1.15809
TWAS21010206	0.959906	0.75611	0.944599	1.18208	0.58695	0.6	0.74966	1.1117	1.032799	1.022227	1.0067916	0.907685	0.988034	0.83464	1.15543	0.94722	0.968364
TWAS21010207	1.084984	0.58773	1.084678	0.5628	1.13432	0.905169	0.71411	0.59949	0.941223	1.097287	0.961327	0.67811	1.11609	0.66855	0.70936	0.80836	1.11837
TWAS21010208	1.092685	0.89753	1.062848	1.36509	1.11987	0.83497	0.75045	1.12021	1.066478	1.099977	1.20501	1.039431	1.080506	0.983464	1.32544	1.03027	1.10148
TWAS21010211	1.063167	0.56765	1.066499	0.55759	1.10499	0.925696	0.58731	0.65094	0.96606	1.089171	0.971185	0.63205	1.093571	0.63476	0.70184	0.84302	1.10036
TWAS21010212	1.11109	0.88197	1.13891	1.47449	1.13597	1.11091	1.23131	1.2454	1.060986	1.027184	1.19769	0.87682	1.065284	0.9904019	1.22414	1.15167	1.044179
TWAS21010215	0.69614	0.55774	0.77053	0.4331	0.54688	1.012258	0.85866	0.8598	0.5046	0.53315	0.65801	0.52393	0.49609	0.52917	0.56121	0.49232	0.52216
TWAS21010216	1.12375	0.62412	1.1417	0.52394	1.18088	1.4238	1.33939	1.1655	1.13061	1.12731	1.027673	0.69886	1.15292	0.70313	1.076179	1.18378	1.16115
TWAS21010217	1.084985	0.5811	1.070083	0.48708	1.14666	1.24613	1.14568	1.165	1.010225	1.09938	0.973083	0.72577	1.12359	0.65998	1.089749	1.13658	1.10946
TWAS21010218	0.5023	0.54144	0.59686	0.52945	0.48455	0.43784	0.63029	0.53764	0.51357	0.50731	0.51093	0.52641	0.48683	0.45812	0.26764	0.46846	0.57248
TWAS21010219	1.11886	0.60804	1.15519	0.5427	1.16365	1.37108	1.23212	1.16441	1.061532	1.13545	1.02238	0.62661	1.16301	0.68658	1.11622	1.16732	1.16418
TWAS21010222	1.092658	0.60393	1.068355	0.51974	1.12915	1.28216	1.21544	1.1716	1.055575	1.11971	0.971733	0.7239	1.15494	0.66581	0.52774	1.11104	1.12875
TWAS21010302	1.12076	0.8911	1.12974	1.35637	1.16044	0.935536	0.79556	1.062974	1.073742	1.1076	1.21716	1.034203	1.11878	0.970023	1.30952	1.15987	1.11188
TWAS21010304	0.79056	0.4552	0.77826	0.47629	0.54301	1.13308	0.9960442	0.81308	0.87594	0.85228	0.64578	0.5016	0.89799	0.52926	0.55836	0.80573	0.72597
TWAS21010305	0.957761	0.71457	0.95878	1.28748	0.56383	0.77807	1.045131	1.097771	1.0198	1.028222	0.967334	0.8183	1.0056216	0.80833	1.17414	0.962886	0.903375
TWAS21010306	0.906068	0.46538	0.901256	0.50093	0.23145	0.51604	0.5873	0.55164	0.78402	0.9922358	0.76172	0.48021	0.89685	0.53973	0.55441	0.74642	1.00050248
TWAS21010307	1.10447	0.89826	1.098901	1.43208	1.11895	1.093261	1.2335	1.24176	1.12581	1.012115	1.19295	0.933034	1.050293	1.021283	1.2586	1.1561	1.06195
TWAS21010308	1.13809	0.89019	1.15842	1.49699	1.18006	1.13385	1.3093	1.26706	1.1315	1.12458	1.23985	0.931887	1.14304	0.97588	1.30379	1.2089	1.11429
TWAS21010309	1.093869	0.907436	1.071981	1.35488	1.12477	0.81398	0.74577	1.12704	1.08133	1.10299	1.21091	0.9949218	1.085736	1.0031626	1.32656	1.0050533	1.10541
TWAS21010312	1.11966	0.910431	1.092453	1.55199	1.17516	1.088439	1.22598	1.27262	1.12669	1.099805	1.19975	0.955764	1.11013	1.002755	1.3284	1.16515	1.11913
TWAS21010313	1.10874	0.89758	1.12096	1.50664	1.16542	1.195	1.30954	1.24852	1.20238	1.10811	1.1684	0.923668	1.11852	0.953611	1.27719	1.17961	1.095004
TWAS21010314	1.10187	0.88311	1.07814	1.52824	1.13546	1.073729	1.31084	1.25968	1.10318	1.094822	1.18242	0.94351	1.10132	0.982892	1.30715	1.13585	1.10234
TWAS21010316	0.85908	0.21922	0.909501	0.50634	0.23894	1.073856	1.067568	1.0033507	0.82389	0.932785	0.75384	0.48541	0.961422	0.53119	0.53594	0.86555	0.935309
TWAS21010318	0.89425	0.68082	0.88137	1.10271	0.54119	0.55113	0.70846	0.955577	0.89811	0.937437	0.976505	0.72978	0.909935	0.81065	1.10158	0.89679	0.86302
TWAS21010319	1.12671	0.86295	1.12509	1.51072	1.12856	1.13722	1.24892	1.21447	1.093188	1.14006	1.17049	0.927198	1.17978	0.907251	1.20892	1.15056	1.107
TWAS21010321	1.12018	0.60981	1.14815	0.52021	1.18215	1.4063	1.29903	1.20442	1.054154	1.11833	1.037312	0.64654	1.16382	0.68484	1.10987	1.19856	1.15262
TWAS21010322	0.78017	0.21784	0.52707	0.44522	0.56219	1.11818	1.11276	0.81565	0.73689	0.53143	0.6465	0.46888	0.83006	0.53652	0.60542	0.53219	0.49496
TWAS21010323	1.073636	0.87312	1.059733	1.34269	1.12221	0.8405	0.81829	1.095274	1.12768	1.096953	1.1799	0.919929	1.06458	1.0019014	1.31584	0.99967102	1.10655
TWAS21010324	1.11785	0.89739	1.1368	1.33051	1.14113	0.960306	0.77908	1.057527	1.15065	1.11806	1.21925	0.913566	1.12008	0.984766	1.31014	1.15445	1.11721
TWAS21010401	1.14066	0.88943	1.15733	1.53547	1.1859	1.14795	1.35946	1.28228	1.13244	1.11989	1.24203	0.93651	1.13927	0.9916518	1.30375	1.199	1.112
TWAS21010402	0.926725	0.71545	0.906308	1.076411	0.53412	0.55983	0.69629	0.964345	1.044087	0.944055	0.918185	0.70554	0.925292	0.77312	1.18159	0.901285	0.85142
TWAS21010403	0.9912511	0.69773	0.939377	1.40372	0.56493	0.81969	1.068537	1.099812	1.042245	1.045343	0.951375	0.79603	1.073947	0.86535	1.086848	1.000036121	0.53742
TWAS21010404	0.89451	0.74651	0.922218	1.078305	0.52836	0.53088	0.64774	1.013366	1.00075988	1.032153	0.927493	0.77898	0.902417	0.75792	1.066728	0.88241	0.959944
TWAS21010405	1.0020956	0.72766	0.979392	1.15858	0.54349	0.53258	0.73164	1.059992	1.018275	0.970703	0.967334	0.82345	0.904092	0.85457	1.20565	0.9914869	0.942372
TWAS21010406	0.86918	0.81364	0.8383	1.13634	0.48846	0.60247	0.69013	1.029196	0.966461	0.917331	0.955717	0.923424	0.927556	0.919875	1.29568	0.93605	0.900353
TWAS21010407	0.957761	0.67695	0.84932	1.14642	0.52247	0.54231	0.70917	1.028889	0.953801	0.952876	0.987732	0.78776	0.907263	0.83525	1.13517	0.87877	0.92164
TWAS21010408	1.11745	0.87496	1.090795	1.46289	1.11614	1.12255	1.26079	1.24312	1.093222	1.12023	1.18037	0.950646	1.14917	0.932287	1.1721	1.13631	1.078458
TWAS21010409	1.12798	0.87651	1.14912	1.49696	1.18025	1.1493	1.27542	1.25342	1.10825	1.11332	1.23567	0.924125	1.13899	0.960814	1.29111	1.18964	1.1061
TWAS21010412	1.11	0.61	1.14889	0.51357	1.14024	1.33448	1.24974	1.1666	1.048688	1.026696	1.050659	0.72245	1.091343	0.7089	1.11615	1.16267	1.097055
TWAS21010413	0.7614	0.676	0.50565	0.58454	0.61452	0.56423	0.59059	0.76104	0.45515	0.44961	0.69116	1.042536	0.70749	1.0084115	0.59655	0.5172	0.47486
TWAS21010414	1.11233	0.62292	1.11121	0.54772	1.17527	1.36548	1.22484	1.1832	1.067679	1.10524	1.018286	0.74197	1.14556	0.70617	1.051943	1.16264	1.1428
TWAS21010416	1.1197	0.66055	1.13679	0.58233	1.19358	1.32336	1.40338	1.21695	1.1035	1.019749	1.069582	0.76097	1.094261	0.76726	0.913069	1.18064	1.10234
TWAS21010417	0.914998	0.46726	0.85516	0.5008	0.399	1.054944	1.06594	1.07115	0.83611	0.935379	0.82355	0.60957	0.916073	0.56423	0.59285	0.910909	0.915768
TWAS21010419	1.12183	0.87503	1.14726	1.50093	1.15869	1.10224	1.30626	1.27145	1.10671	1.10949	1.2319	0.92718	1.11871	0.953071	1.27695	1.18097	1.095974
TWAS21010422	1.1358	0.63931	1.16163	0.51081	1.18846	1.38585	1.27886	1.1899	1.074683	1.12854	1.043532	0.71797	1.17066	0.68958	1.028368	1.20731	1.17512
TWAS21010423	1.084691	0.5458	1.099916	0.53157	1.15569	1.016203	0.70475	0.57153	0.997865	1.096218	0.974521	0.59024	1.10303	0.59288	0.82479	1.0091583	1.12693
TWAS21010424	0.79735	0.56521	0.52357	0.45424	0.57975	1.12181	1.10337	0.902752	0.47783	0.49996	0.58619	0.45163	0.47978	0.53077	0.56545	0.79825	0.74347
TWAS21010501	1.12354	0.89866	1.12859	1.3683	1.14826	0.976597	0.76533	1.11536	1.16797	1.13968	1.17562	1.023068	1.1267	0.946255	1.29168	1.15008	1.12667
TWAS21010502	0.52345	0.52825	0.65594	1.12339	0.53487	0.50536	0.84461	0.83097	0.42963	0.4875	0.82435	0.52169	0.40726	0.619	0.60229	0.68119	0.46487
TWAS21010504	0.910641	0.77165	0.87179	1.33539	0.53276	0.86906	1.10713	1.029852	0.967098	0.977088	0.918185	0.77828	1.010951	0.84866	1.15651	0.976656	0.85287
TWAS21010506	1.1322	0.904084	1.14753	1.52737	1.17277	1.18473	1.36467	1.26435	1.20265	1.1267	1.20212	0.970612	1.14651	0.966836	1.28723	1.21263	1.11112
TWAS21010507	1.11073	0.58168	1.12613	0.54937	1.16396	0.958729	0.74589	0.64332	0.9974211	1.1195	1.032085	0.6016	1.14509	0.58818	0.87419	1.04699	1.16199
TWAS21010508	1.1019	0.64826	1.10747	0.47568	1.11858	1.30844	1.26146	1.11994	1.090279	1.034863	1.011976	0.76071	1.079888	0.74338	0.963525	1.16938	1.081225
TWAS21010511	1.12423	0.61685	1.15454	0.56442	1.17451	1.36481	1.40309	1.19802	1.11188	1.14575	1.030805	0.6718	1.16845	0.6671	1.20238	1.19795	1.17122
