CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	1.0019738	0.5597	1.044985	0.62997	0.68679	0.83873	0.63085	0.66816	0.942866	1.026934	0.943115	0.64515	1.058851	0.56759	0.45992	0.917073	1.027037
TWAS21160104	0.71404	0.47101	0.69668	0.50342	0.48332	0.93397	0.76413	0.74283	0.49322	0.84122	0.50394	0.49471	0.89447	0.40365	0.3314	0.51691	0.79589
TWAS21160106	1.040061	0.74951	1.085483	0.5639	1.06711	1.15575	0.942762	1.044777	0.932355	1.06352	0.930372	0.69805	1.025993	0.66933	0.53499	1.066049	1.060139
TWAS21160108	1.036354	0.89339	1.050144	0.61301	1.13981	0.972206	0.59826	0.6394	0.977097	1.075786	0.956571	0.67922	1.038314	0.61869	0.57314	0.9932692	1.070618
TWAS21160113	1.051432	0.68739	1.066566	0.66097	1.16796	0.906709	0.61803	0.69549	0.9966784	1.1032	0.989701	0.75069	1.086098	0.74383	0.62388	0.945933	1.068978
TWAS21160114	0.89807	0.929329	0.88818	1.2819	0.28284	0.87858	0.969689	1.075625	0.987749	1.0014523	0.97436	0.80093	0.978377	0.927107	1.25125	0.973789	0.93438
TWAS21160116	1.058397	0.971916	1.055956	0.60043	1.17336	1.19917	1.17212	1.061744	1.042361	1.11674	0.985706	0.70746	1.072612	0.70076	0.55891	1.08995	1.082588
TWAS21160118	1.047201	1.013441	1.043321	1.21559	1.13754	0.89746	0.66626	1.024302	1.076509	1.066174	1.12576	0.87237	1.034637	1.04803	1.33394	1.040715	1.053149
TWAS21160119	1.052726	0.82684	1.049384	0.60734	1.15361	1.18498	1.025895	1.060277	1.074018	1.053568	0.977391	0.72999	1.057132	0.75281	0.62658	1.065623	1.080568
TWAS21160121	1.065917	0.937081	1.074793	1.34864	1.16819	1.11187	1.089805	1.17091	1.10074	1.089458	1.13051	0.86669	1.055674	0.9917132	1.28597	1.082169	1.050428
TWAS21160122	1.010865	0.956583	1.02491	1.36075	0.5846	0.956429	1.10888	1.15176	1.066001	1.038745	1.078767	0.84566	1.031295	0.982018	1.34412	1.028336	0.972292
TWAS21160203	1.069288	0.963489	1.075311	1.36382	1.16858	1.060003	1.13215	1.18226	1.098018	1.085203	1.13104	0.86196	1.057893	1.01452	1.3083	1.082804	1.045174
TWAS21160204	0.75885	0.87284	0.69143	1.034913	0.52264	0.51545	0.958082	0.984438	0.80031	0.39111	0.81152	0.82182	0.47088	1.24881	1.058429	0.80074	0.79532
TWAS21160205	1.050328	0.9909187	1.049498	1.33368	1.16027	0.9924175	1.037209	1.18806	1.029232	1.038468	1.12902	0.86959	1.051972	1.054763	1.31843	1.058479	1.045759
TWAS21160206	1.058927	0.8397	1.049867	0.63711	1.17571	1.19369	1.024446	1.091448	1.047916	1.063548	1.0051626	0.75132	1.072737	0.77471	0.60875	1.07046	1.077652
TWAS21160209	1.053634	0.86321	1.044973	0.60856	1.1569	1.19657	0.963869	1.090821	1.0009509	1.060549	0.981235	0.74131	1.054426	0.70532	0.49512	1.077583	1.067349
TWAS21160211	1.074095	0.88791	1.087348	0.67364	1.18049	1.25154	1.057851	1.10593	1.0046365	1.056086	1.021773	0.73397	1.077028	0.69599	0.572	1.073524	1.076179
TWAS21160212	0.88621	0.51196	0.90062	0.26557	0.62323	0.84486	0.58314	0.61615	0.85027	0.959106	0.8435	0.57095	0.958374	0.5582	0.44872	0.63291	0.930538
TWAS21160213	1.044571	0.87259	1.067707	0.6407	1.15769	0.954419	0.60249	0.6304	0.935007	1.040027	0.9919128	0.69645	1.056951	0.66012	0.61325	0.977984	1.063264
TWAS21160214	1.03682	0.8835	1.048505	0.4982	1.14159	0.922352	0.60359	0.57698	0.916574	1.08386	0.960442	0.67558	1.065159	0.58212	0.49274	0.9945494	1.080323
TWAS21160216	0.86068	0.87695	0.77488	1.10138	0.911309	0.74202	0.81783	0.9929779	0.85436	0.935595	0.89877	0.8554	0.962583	0.76685	1.019061	0.89066	0.85957
TWAS21160217	1.044459	0.90716	1.030852	0.65782	1.16854	1.16481	1.11001	1.09818	1.036059	1.068483	0.971234	0.72763	1.071064	0.7208	0.5761	1.064988	1.070091
TWAS21160218	1.020113	0.957799	1.095262	1.14856	1.055369	0.938667	0.62383	0.89773	1.029327	1.011981	1.095341	0.81316	0.974221	1.043632	1.27846	1.037998	1.026073
TWAS21160219	1.0082063	0.84018	1.053445	0.48794	1.058947	0.93291	0.56649	0.53966	0.902107	1.033448	0.88821	0.66494	0.971607	0.60361	0.53125	0.924808	1.031162
TWAS21160221	1.038595	0.922169	0.9932163	1.19659	1.11081	0.95152	0.65779	0.963926	1.070081	1.087077	1.11112	0.8503	0.9939292	1.0034399	1.25062	1.045368	1.026258
