CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.088868	0.65497	1.11454	0.5114	1.12817	1.25416	1.23414	1.19183	1.042177	1.04067	1.0028558	0.74928	1.086776	0.67845	0.940035	1.13761	1.08027
TWAS21010104	1.13457	0.64772	1.13464	0.4668	1.17393	1.4513	1.3775	1.15942	1.12409	1.17073	1.0312	0.70759	1.19572	0.68895	0.60116	1.20278	1.19612
TWAS21010105	1.12214	0.900958	1.14409	1.50045	1.14534	1.17123	1.24029	1.23208	1.11463	1.049791	1.21561	0.940323	1.062547	0.978979	1.2304	1.16267	1.048091
TWAS21010106	1.086957	0.59367	1.11361	0.54481	1.13884	0.998973	0.81633	0.66794	0.931678	1.10289	1.0058064	0.55668	1.099996	0.64192	0.85249	1.065311	1.12532
TWAS21010107	0.956366	0.78003	1.0028045	1.18989	0.59058	0.54003	0.56494	1.10033	0.981548	1.0094159	0.961039	0.88568	0.52273	0.84558	1.18041	0.982281	0.83764
TWAS21010112	1.10405	0.941004	1.070283	1.35354	1.13276	0.89354	0.85919	1.10872	1.084716	1.13193	1.17753	0.959063	1.10402	0.978737	1.3037	1.029645	1.11249
TWAS21010114	1.10894	0.60939	1.10194	0.52969	1.15434	1.30506	1.17829	1.17895	1.052151	1.13655	1.009681	0.73368	1.14225	0.67725	1.069619	1.15413	1.14183
TWAS21010115	1.086568	0.53233	1.11593	0.46214	1.14152	1.0097634	0.73552	0.56367	1.019996	1.11299	1.032049	0.57558	1.095863	0.63921	0.85968	1.011259	1.13106
TWAS21010116	1.087688	0.62748	1.085241	0.52275	1.13766	1.30015	1.27931	1.15776	1.10027	1.11718	0.9934176	0.74023	1.11083	0.66917	1.21216	1.11675	1.11728
TWAS21010117	0.971382	0.52063	0.972581	0.51677	0.39375	0.72106	0.67691	0.52475	0.8796	1.14486	0.88245	0.62199	0.908045	0.55892	0.68536	0.85266	1.028227
TWAS21010118	0.987438	0.76675	0.963647	1.12494	0.51955	0.58338	0.76295	0.979645	1.039284	0.985682	0.919698	0.79689	0.975422	0.79121	1.13354	0.96603	0.942372
TWAS21010119	1.011991	0.72075	0.958355	1.33016	0.50773	0.87885	1.071515	1.13734	1.058661	1.075799	1.068419	0.79527	1.076999	0.80163	1.091316	1.051141	0.92164
TWAS21010121	1.094412	0.59682	1.11753	0.57803	1.15053	0.965993	0.826	0.62286	0.957121	1.12821	1.019465	0.74823	1.11978	0.62957	0.977975	1.038887	1.1426
TWAS21010122	1.10717	0.60824	1.095428	0.52368	1.15372	1.28908	1.18538	1.17123	1.033554	1.13063	0.9941977	0.73128	1.12648	0.66219	1.00067401	1.16059	1.13205
TWAS21010203	0.903961	0.78638	0.89811	1.09244	0.55868	0.56398	0.85091	1.050678	1.047093	0.9907254	1.0016946	0.83613	1.037266	0.81227	1.26022	1.0032021	0.927389
TWAS21010204	1.11269	0.62603	1.12938	0.55319	1.18291	1.044612	0.78073	0.69094	1.031308	1.14132	1.03183	0.65908	1.12362	0.64618	0.914706	1.038575	1.15938
TWAS21010205	1.13057	0.64351	1.15411	0.56667	1.20023	1.37998	1.37913	1.2026	1.14853	1.15041	1.049875	0.70825	1.1486	0.67495	1.021984	1.20498	1.15873
TWAS21010206	1.078398	0.82305	0.944599	1.19029	0.58715	0.6	0.77263	1.243	1.15284	1.15057	1.00041587	0.911453	1.067095	0.85967	1.16353	1.073502	1.080609
TWAS21010207	1.08603	0.58988	1.085455	0.5628	1.13647	0.941356	0.77923	0.59949	0.937742	1.11797	0.964597	0.6809	1.11719	0.68412	0.7415	0.84543	1.11925
