CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160108	1.02974800510657	0.544179476885738	1.04552310027925	-0.0914778411664471	1.05240306158087	0.816080945726354	-0.038528655177457	0.255001382360657	0.921447214184212	1.06671649970415	0.874518061693642	0.293779275970221	1.04609254365123	0.120541818821847	-0.104780552903467	0.944518421522523	1.06461195664892
TWAS21160114	0.919808884561598	0.821390827317223	0.890072706335342	1.06396769767651	-0.0542996252688606	0.799164578230614	0.831141241617178	1.04725862705603	1.02711320417013	0.941267300834163	0.981335944270922	0.557497559737237	0.918201082501308	0.762151811615637	1.04501881812331	0.957145099341078	0.859884709636499
TWAS21160116	1.06281341875058	0.573860956128906	1.06063780426708	-0.103678435639468	1.08823638726943	1.09709442642706	1.06386083313771	1.04613449397969	1.04663401616457	1.07520342502926	0.933561744255167	0.459591027518853	1.07244037149475	0.216583469296541	0.576554868602021	1.07974932810279	1.08157711411764
TWAS21160118	1.04018806340226	0.948527670101336	1.02527866775512	0.96260470181294	1.0290877107195	0.716389753275932	0.122190970975739	0.922394191602081	1.08737311909908	1.05761651136148	1.12218029552617	0.659485881559127	1.01676909712601	0.81613991405035	1.085949719121	1.02942897543865	1.05425177167324
TWAS21160119	1.0525144891159	0.484260417540939	1.04044878158265	0.208238760203286	1.0650497272132	1.09071899080246	0.864413938281749	1.00917432659805	1.08216336427378	1.06959777183497	0.914637968778711	0.417552746099818	1.05827464809478	0.497455429644178	-0.0195134054471128	1.06042048777815	1.07690001620751
TWAS21160121	1.06896474048045	0.791517539081908	1.08116476371029	1.11348254810239	1.07445486339906	1.00602101134059	0.925761576960096	1.11925588210389	1.11038063318449	1.06273410477879	1.13146741419123	0.664480183297221	1.05738401078543	0.730709142946147	1.03883980541434	1.08030458991668	1.01650517035981
TWAS21160122	1.00813069511918	0.818452676437427	1.00683411689253	1.12382461563525	0.0509059966390595	0.92531599650844	0.989549789868273	1.09582832214892	1.07612081399494	0.987934262567638	1.05142827754492	0.620622481756041	0.97305926908758	0.73234773669286	1.08997346481942	1.00460904359354	0.859136733591593
TWAS21160203	1.07077340328041	0.842757965878184	1.079065590687	1.12736852500916	1.07431261725328	0.943519824570278	0.999067947968689	1.14220390171829	1.11646627160221	1.08932332511313	1.13507129696933	0.642151845747156	1.05870964823133	0.766086468446083	1.0532798203035	1.08291824831871	1.02612231976563
TWAS21160205	1.04391967876442	0.87417000780253	1.03596102457851	1.09841930174669	1.06332224372478	0.869049653060661	0.819717971382236	1.15258364376388	1.02888509572988	1.05730620119143	1.12361498895121	0.651744034920165	1.04407947217823	0.837125070209979	1.06537808003859	1.0477851779877	1.04252626647047
TWAS21160206	1.05346521233651	0.482281102569757	1.03540227390947	-0.0485234612127074	1.08322792535379	1.0955069536913	0.805771132512656	1.02647086563737	1.04298890351328	1.08160001176231	0.937600842079428	0.471695843103465	1.0684884946493	0.245715769365166	0.523693899016566	1.06766804593377	1.07677610844675
