"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32"
"1" 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 15 0 1 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 15 0 0 0 31 0 3 0 7 0 7 0 7 0 5 5 7 0 5 5 5 5 7 0 5 5 7 7 1 0 7 0
"4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 15 0 5 0 0 0 5 0 5 0 5 0 5 0 31 31 5 0 31 31 31 31 5 0 31 31 5 5 1 0 5 0
"6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 15 0 7 0 31 0 0 0 3 0 3 0 3 0 5 5 3 0 5 5 5 5 3 0 5 5 3 3 1 0 3 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 15 0 31 0 7 0 31 0 0 0 13 0 27 0 5 5 13 0 5 5 5 5 13 0 5 5 28 9 1 0 13 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 15 0 13 0 7 0 13 0 31 0 0 0 31 0 5 5 11 0 5 5 5 5 17 0 5 5 31 31 1 0 23 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 15 0 31 0 7 0 31 0 13 0 27 0 0 0 5 5 27 0 5 5 5 5 27 0 5 5 13 13 1 0 27 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 5 0 16 0 16 0 16 0 16 0 16 0 16 0 0 26 16 0 22 22 22 15 16 0 22 15 16 16 1 0 16 0
"16" 5 0 15 0 15 0 15 0 15 0 15 0 15 0 25 0 15 0 20 16 20 25 15 0 20 25 15 15 1 0 15 0
"17" 15 0 13 0 7 0 13 0 31 0 17 0 31 0 5 5 0 0 5 5 5 5 11 0 5 5 31 31 1 0 23 0
"18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 5 0 22 0 22 0 22 0 22 0 22 0 22 0 16 25 22 0 0 25 19 16 22 0 21 16 22 22 1 0 22 0
"20" 5 0 15 0 15 0 15 0 15 0 15 0 15 0 21 20 15 0 16 0 16 25 15 0 16 25 15 15 1 0 15 0
"21" 5 0 22 0 22 0 22 0 22 0 22 0 22 0 16 25 22 0 21 25 0 16 22 0 19 16 22 22 1 0 22 0
"22" 5 0 25 0 25 0 25 0 25 0 25 0 25 0 26 15 25 0 15 15 15 0 25 0 15 22 25 25 1 0 25 0
"23" 15 0 13 0 7 0 13 0 31 0 23 0 31 0 5 5 23 0 5 5 5 5 0 0 5 5 31 31 1 0 11 0
"24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 5 0 22 0 22 0 22 0 22 0 22 0 22 0 16 19 22 0 25 19 25 16 22 0 0 16 22 22 1 0 22 0
"26" 5 0 25 0 25 0 25 0 25 0 25 0 25 0 22 15 25 0 15 15 15 26 25 0 15 0 25 25 1 0 25 0
"27" 15 0 31 0 7 0 31 0 27 0 13 0 9 0 5 5 13 0 5 5 5 5 13 0 5 5 0 27 1 0 13 0
"28" 15 0 31 0 7 0 31 0 28 0 13 0 27 0 5 5 13 0 5 5 5 5 13 0 5 5 9 0 1 0 13 0
"29" 29 0 29 0 29 0 29 0 29 0 29 0 29 0 29 29 29 0 29 29 29 29 29 0 29 29 29 29 0 0 29 0
"30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" 15 0 13 0 7 0 13 0 23 0 31 0 23 0 5 5 31 0 5 5 5 5 31 0 5 5 23 23 1 0 0 0
"32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
