"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32"
"1" 0 0 15 0 15 0 15 0 15 0 15 0 15 0 5 5 15 0 5 5 5 5 15 0 5 5 15 15 29 0 15 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 1 0 0 0 5 0 7 0 31 0 13 0 31 0 16 15 13 0 22 15 22 25 13 0 22 25 31 31 29 0 13 0
"4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 1 0 31 0 0 0 31 0 7 0 7 0 7 0 16 15 7 0 22 15 22 25 7 0 22 25 7 7 29 0 7 0
"6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 1 0 3 0 5 0 0 0 31 0 13 0 31 0 16 15 13 0 22 15 22 25 13 0 22 25 31 31 29 0 13 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 1 0 7 0 5 0 3 0 0 0 31 0 13 0 16 15 31 0 22 15 22 25 31 0 22 25 27 28 29 0 23 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 1 0 7 0 5 0 3 0 13 0 0 0 27 0 16 15 17 0 22 15 22 25 23 0 22 25 13 13 29 0 31 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 1 0 7 0 5 0 3 0 27 0 31 0 0 0 16 15 31 0 22 15 22 25 31 0 22 25 9 27 29 0 23 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 0 25 5 0 16 21 16 26 5 0 16 22 5 5 29 0 5 0
"16" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 26 0 5 0 25 20 25 15 5 0 19 15 5 5 29 0 5 0
"17" 1 0 7 0 5 0 3 0 13 0 11 0 27 0 16 15 0 0 22 15 22 25 23 0 22 25 13 13 29 0 31 0
"18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 22 20 5 0 0 16 21 15 5 0 25 15 5 5 29 0 5 0
"20" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 22 16 5 0 25 0 25 15 5 0 19 15 5 5 29 0 5 0
"21" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 22 20 5 0 19 16 0 15 5 0 25 15 5 5 29 0 5 0
"22" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 15 25 5 0 16 25 16 0 5 0 16 26 5 5 29 0 5 0
"23" 1 0 7 0 5 0 3 0 13 0 17 0 27 0 16 15 11 0 22 15 22 25 0 0 22 25 13 13 29 0 31 0
"24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 22 20 5 0 21 16 19 15 5 0 0 15 5 5 29 0 5 0
"26" 1 0 5 0 31 0 5 0 5 0 5 0 5 0 15 25 5 0 16 25 16 22 5 0 16 0 5 5 29 0 5 0
"27" 1 0 7 0 5 0 3 0 28 0 31 0 13 0 16 15 31 0 22 15 22 25 31 0 22 25 0 9 29 0 23 0
"28" 1 0 7 0 5 0 3 0 9 0 31 0 13 0 16 15 31 0 22 15 22 25 31 0 22 25 27 0 29 0 23 0
"29" 15 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 1 0
"30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" 1 0 7 0 5 0 3 0 13 0 23 0 27 0 16 15 23 0 22 15 22 25 11 0 22 25 13 13 29 0 0 0
"32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
